Found 4 device(s):
  0:  Realtek, RTL2838UHIDIR, SN: 00000001
  1:  Realtek, RTL2838UHIDIR, SN: 00000001
  2:  Realtek, RTL2838UHIDIR, SN: 00000001
  3:  Realtek, RTL2838UHIDIR, SN: 00000001

Using device 3: Generic RTL2832U OEM
Found Rafael Micro R820T tuner
Exact sample rate is: 250000.000414 Hz
[R82XX] PLL not locked!
Sampling at 250000 S/s.
Tuned to 150050000 Hz.
Tuner gain set to 49.60 dB.
Reading samples in async mode...
Ignoring signals shorter than 0.010000 and longer than 0.030000
Will print timestamp every 1500000 transforms
2020-07-22 19:36:49.034725507
timestamp;samples;duration;signal_freq;signal_bw;max_signal;noise
2020-07-22 19:36:51.143525443;10656;0.022400  ;-47406.773438;18000.000000;92.884430;-28.650063
2020-07-22 19:36:51.175525507;10768;0.012800  ;-31909.085938;5000.000000;80.548523;-37.002754
2020-07-22 19:36:51.201125459;10944;0.019200  ;-50211.531250;20000.000000;93.508324;-28.650063
2020-07-22 19:36:51.226725427;11040;0.016000  ;-49153.843750;3000.000000;88.216644;-28.650063
2020-07-22 19:36:51.245925507;11168;0.022400  ;-49196.964844;20000.000000;95.476959;-28.650063
2020-07-22 19:36:51.277925331;11296;0.016000  ;-49904.761719;21000.000000;95.319550;-28.650063
2020-07-22 19:36:51.277925331;11312;0.019200  ;-31999.994141;5000.000000;79.582916;-35.407112
2020-07-22 19:36:51.348325347;11664;0.019200  ;-49641.507812;19000.000000;94.206337;-28.650063
2020-07-22 19:36:51.380325411;11808;0.016000  ;-50377.355469;19000.000000;95.819199;-28.650063
2020-07-22 19:36:51.409125411;11952;0.012800  ;-49857.132812;20000.000000;95.604660;-28.650063
2020-07-22 19:36:51.412325475;11952;0.012800  ;-31999.994141;3000.000000;78.000618;-37.002754
2020-07-22 19:36:51.431525539;12112;0.025600  ;-49779.652344;20000.000000;95.833229;-28.650063
2020-07-22 19:36:51.460325571;12192;0.012800  ;-49249.996094;4000.000244;88.809982;-28.650063
2020-07-22 19:36:51.479525411;12320;0.019200  ;-49492.058594;19000.000000;93.422043;-28.650063
2020-07-22 19:36:51.511525475;12448;0.012800  ;-12249.994141;8000.000488;102.214638;-34.920551
2020-07-22 19:36:51.559525315;12704;0.016000  ;-47826.089844;11000.000000;89.143753;-28.650063
2020-07-22 19:36:51.581925443;12832;0.019200  ;-49490.898438;20000.000000;93.503319;-28.650063
2020-07-22 19:36:51.661925379;13200;0.012800  ;-49249.996094;4000.000244;88.292854;-28.650063
2020-07-22 19:36:51.677925443;13280;0.012800  ;-31923.074219;5000.000000;79.162155;-35.407112
2020-07-22 19:36:51.681125507;13344;0.022400  ;-49636.359375;19000.000000;93.872009;-28.650063
2020-07-22 19:36:51.713125571;13456;0.012800  ;-88800.000000;2000.000122;78.201538;-37.097416
2020-07-22 19:36:51.713125571;13456;0.012800  ;-48771.421875;26000.000000;92.659119;-28.650063
2020-07-22 19:36:51.713125571;13456;0.012800  ;-31666.662109;4000.000244;79.876572;-39.270340
2020-07-22 19:36:51.735525443;13616;0.022400  ;-50333.332031;19000.000000;91.896423;-28.650063
2020-07-22 19:36:51.761125379;13696;0.012800  ;-48333.332031;8000.000488;91.127274;-28.650063
2020-07-22 19:36:51.780325507;13792;0.012800  ;-32090.906250;5000.000000;78.834572;-35.407112
2020-07-22 19:36:51.777125443;13840;0.022400  ;-48721.304688;20000.000000;94.482567;-28.650063
2020-07-22 19:36:51.812325315;13952;0.012800  ;-49285.710938;18000.000000;96.286888;-28.650063
2020-07-22 19:36:51.812325315;13952;0.012800  ;-31999.998047;5000.000000;80.641548;-37.002754
2020-07-22 19:36:51.837925507;14096;0.016000  ;-49491.515625;20000.000000;94.667435;-28.650063
2020-07-22 19:36:51.844325379;14112;0.012800  ;-31636.361328;4000.000244;78.419861;-37.002754
2020-07-22 19:36:51.876325443;14288;0.016000  ;-32249.994141;4000.000244;80.014465;-37.002754
2020-07-22 19:36:51.911525315;14464;0.016000  ;-49636.359375;19000.000000;95.570137;-28.650063
2020-07-22 19:36:51.940325315;14592;0.012800  ;-48799.992188;20000.000000;96.561333;-28.650063
